sex,address,famsize,Pstatus,Mjob,Fjob,guardian,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,age,absences,G1,G2,G3
M,U,GT3,T,services,teacher,mother,no,no,no,no,yes,yes,yes,no,4,4,1,1,0,5,2,3,1,2,5,17,4,17,15,16
M,R,LE3,T,teacher,other,father,no,yes,yes,yes,yes,yes,yes,no,3,3,3,1,0,3,3,4,3,5,3,16,8,9,9,10
F,U,GT3,T,services,teacher,mother,no,yes,no,no,yes,yes,yes,no,4,4,2,1,1,4,2,4,2,3,2,17,24,18,18,18
F,U,LE3,T,teacher,teacher,mother,no,yes,yes,no,yes,yes,yes,no,4,4,1,2,0,4,5,2,1,2,3,16,0,9,9,10
F,U,GT3,T,health,other,mother,no,yes,no,yes,yes,yes,yes,no,4,3,1,2,0,4,3,5,1,5,2,16,2,16,16,16
F,U,GT3,T,other,other,mother,yes,yes,yes,yes,yes,yes,no,no,2,3,1,2,0,4,4,3,1,3,4,16,6,8,10,10
F,U,GT3,T,other,other,mother,no,yes,yes,no,no,yes,no,no,1,1,1,2,0,4,4,4,1,3,1,17,4,9,9,10
F,R,GT3,T,other,other,mother,no,yes,no,no,yes,yes,yes,no,2,2,1,1,0,5,3,2,1,2,3,17,18,7,6,6
F,R,GT3,T,services,services,mother,no,yes,yes,yes,no,yes,yes,no,2,2,2,4,0,5,3,5,1,1,5,16,6,10,10,11
F,U,GT3,T,at_home,services,mother,no,yes,yes,no,yes,yes,yes,yes,3,4,1,3,1,4,4,3,3,4,5,17,28,10,9,9
F,U,GT3,A,services,other,mother,no,yes,yes,no,yes,yes,yes,no,3,1,1,2,3,2,3,3,2,2,4,16,5,7,7,7
F,U,GT3,T,teacher,other,mother,no,no,yes,yes,yes,yes,yes,yes,4,3,1,2,0,1,3,2,1,1,1,16,10,11,12,13
F,U,GT3,T,at_home,other,mother,no,yes,yes,no,yes,yes,no,no,1,1,2,1,0,4,3,2,1,4,5,16,6,9,9,10
F,R,GT3,T,teacher,other,mother,no,yes,yes,yes,yes,yes,yes,yes,4,3,2,3,0,4,4,2,1,1,4,17,6,7,7,7
F,U,GT3,T,other,other,other,no,yes,yes,yes,yes,yes,yes,no,3,3,1,4,0,4,3,3,1,2,3,19,10,8,8,8
M,U,LE3,T,services,other,mother,no,yes,yes,no,yes,yes,yes,yes,4,4,1,2,0,5,3,5,4,5,3,17,13,12,12,13
F,U,GT3,A,other,other,mother,yes,yes,yes,no,yes,yes,yes,no,2,2,1,2,0,3,3,4,1,1,4,16,0,12,13,14
M,U,GT3,T,services,other,mother,no,yes,yes,yes,yes,yes,yes,no,2,2,1,2,1,4,4,4,2,4,5,18,15,6,7,8
F,R,LE3,T,services,other,mother,no,yes,yes,no,yes,yes,no,no,4,4,1,1,0,5,2,1,1,2,3,17,12,8,10,10
F,U,LE3,T,other,other,mother,no,no,yes,no,yes,yes,yes,no,3,2,2,2,0,4,4,4,1,3,1,17,2,14,15,15
F,U,GT3,T,other,other,mother,no,no,yes,no,yes,yes,yes,yes,4,3,1,2,2,3,4,5,2,4,1,17,22,6,6,4
M,U,LE3,T,services,health,father,no,yes,yes,no,yes,yes,yes,no,3,3,1,2,1,3,2,4,2,4,4,18,13,6,6,8
F,U,GT3,T,at_home,other,father,no,yes,yes,no,yes,yes,no,no,2,3,2,1,0,3,3,3,1,4,3,17,3,7,7,8
F,U,GT3,T,at_home,at_home,mother,no,yes,yes,yes,yes,yes,yes,no,2,2,1,3,0,4,3,3,1,1,4,17,4,9,10,10
F,R,GT3,T,at_home,services,mother,no,yes,no,yes,yes,yes,yes,no,2,1,2,2,0,4,2,5,1,2,5,17,2,6,6,6
F,U,GT3,T,at_home,other,mother,no,yes,no,yes,yes,yes,no,yes,1,1,1,3,1,4,3,4,1,1,5,17,0,6,5,0
F,U,GT3,T,services,teacher,mother,yes,no,no,no,yes,yes,yes,no,2,3,1,2,0,2,3,1,1,1,3,16,2,16,16,17
M,U,GT3,T,other,other,mother,no,yes,yes,no,yes,yes,yes,no,2,2,2,2,0,3,3,3,5,5,4,18,0,12,13,13
F,U,GT3,T,teacher,services,mother,no,yes,no,yes,no,yes,yes,no,4,4,1,3,0,5,3,2,1,1,5,16,0,13,13,14
F,R,GT3,T,other,other,mother,no,no,no,yes,yes,yes,yes,yes,3,1,1,2,1,5,3,3,1,1,4,18,16,9,8,7
F,U,GT3,T,other,other,mother,no,no,no,yes,no,yes,yes,no,3,2,1,2,0,5,3,4,1,3,3,17,10,16,15,15
M,U,LE3,T,services,services,father,no,yes,yes,no,no,yes,yes,no,2,3,1,2,0,5,3,3,1,3,3,17,2,12,11,12
M,U,LE3,T,at_home,other,mother,yes,yes,yes,yes,yes,yes,yes,yes,2,1,4,2,0,4,3,2,4,5,3,18,14,10,8,9
F,U,GT3,A,other,other,mother,no,no,no,yes,yes,yes,yes,yes,2,1,2,3,0,3,2,3,1,2,3,17,10,12,10,12
F,U,LE3,T,health,other,father,no,no,no,yes,yes,yes,yes,yes,4,3,1,2,0,3,2,3,1,2,3,17,14,13,13,14
M,R,GT3,T,other,other,father,no,yes,yes,yes,yes,yes,yes,no,2,2,2,2,0,4,5,2,1,1,1,17,4,11,11,11
M,U,GT3,T,teacher,teacher,mother,yes,yes,no,yes,yes,yes,yes,yes,4,4,1,2,0,4,5,5,1,3,2,17,14,11,9,9
M,U,GT3,T,health,other,father,no,yes,yes,yes,yes,yes,yes,no,4,4,1,2,0,4,2,4,2,4,1,16,2,14,13,13
M,U,LE3,T,other,other,mother,no,yes,yes,no,yes,yes,yes,no,1,1,2,2,0,3,4,2,1,1,5,16,18,9,7,6
M,U,GT3,T,at_home,other,mother,no,no,no,yes,yes,yes,yes,yes,3,2,2,3,0,5,3,3,1,3,2,16,10,11,9,10
M,U,LE3,T,other,other,father,no,no,yes,yes,no,yes,yes,yes,2,2,1,2,0,4,4,2,5,5,4,17,4,14,13,13
F,U,GT3,T,other,other,mother,no,no,no,no,yes,yes,yes,yes,2,1,1,1,0,4,5,2,1,1,5,16,20,13,12,12
F,R,GT3,T,at_home,services,mother,no,no,no,yes,yes,yes,no,no,2,1,3,2,0,2,1,1,1,1,3,17,2,13,11,11
M,U,GT3,T,other,services,father,no,no,no,no,yes,no,yes,no,2,2,1,2,1,5,5,4,3,5,2,18,0,7,7,0
M,U,LE3,T,health,other,mother,no,no,no,yes,yes,yes,yes,yes,4,3,2,2,0,2,5,5,1,4,5,17,14,12,12,12
M,R,LE3,A,teacher,other,mother,no,yes,yes,no,yes,yes,yes,no,4,4,2,2,0,3,3,3,2,3,4,17,2,10,11,12
M,U,LE3,T,teacher,other,mother,no,no,no,yes,no,yes,yes,no,4,3,1,1,0,5,4,5,1,1,3,16,0,6,0,0
M,U,GT3,T,services,services,mother,no,no,no,yes,yes,yes,yes,no,4,4,1,1,0,5,3,2,1,2,5,16,0,13,12,12
F,U,GT3,T,other,other,other,no,yes,yes,no,no,yes,yes,yes,2,1,2,3,0,4,4,4,1,1,3,18,0,7,0,0
M,U,GT3,T,other,other,mother,no,no,no,no,yes,yes,yes,no,2,1,3,1,0,4,3,3,1,1,4,16,6,18,18,18
M,U,GT3,T,other,other,father,no,no,no,no,yes,yes,yes,no,2,3,2,1,0,5,2,2,1,1,2,17,4,12,12,13
M,U,GT3,T,services,services,mother,no,no,no,no,no,no,yes,yes,3,1,1,1,3,5,4,5,5,5,1,22,16,6,8,8
M,R,LE3,T,other,services,mother,no,yes,no,no,yes,yes,yes,yes,3,3,1,2,1,4,3,3,1,3,5,18,8,3,5,5
M,U,GT3,T,other,other,mother,no,no,yes,no,no,yes,yes,no,0,2,1,1,0,4,3,2,2,4,5,16,0,13,15,15
M,U,GT3,T,services,other,mother,no,no,no,no,yes,no,yes,no,3,2,2,1,1,4,4,5,2,4,5,18,0,6,8,8
M,U,GT3,T,at_home,other,other,yes,yes,no,no,no,yes,yes,no,3,3,3,2,0,5,3,3,1,3,2,16,6,7,10,10
M,U,GT3,T,services,services,mother,no,no,no,no,no,no,yes,no,2,1,1,1,1,3,2,5,2,5,5,18,4,6,9,8
M,R,GT3,T,other,other,mother,no,no,no,yes,no,yes,no,no,2,1,2,1,0,3,3,2,1,3,3,16,0,8,9,8
M,R,GT3,T,other,other,mother,no,no,no,no,no,yes,yes,no,2,1,1,1,0,4,4,2,2,4,5,17,0,8,12,12
M,U,LE3,T,health,other,mother,no,yes,no,yes,yes,yes,yes,no,1,1,2,1,1,4,4,4,1,2,5,17,2,7,9,8
F,U,LE3,T,teacher,services,mother,no,yes,yes,yes,yes,yes,yes,no,4,2,1,4,0,4,2,3,1,1,4,17,6,14,12,13
M,U,LE3,A,services,at_home,mother,no,yes,no,no,yes,yes,yes,no,4,3,1,2,0,4,3,1,1,1,1,19,12,11,11,11
M,U,GT3,T,other,other,mother,no,no,no,yes,yes,yes,yes,no,2,1,1,2,0,5,2,4,1,2,4,18,8,15,14,14
F,U,LE3,T,services,services,father,no,no,yes,yes,yes,yes,yes,yes,2,2,1,4,0,3,4,1,1,1,2,17,0,10,9,0
F,U,GT3,T,services,other,father,no,yes,yes,no,yes,yes,yes,yes,4,3,1,2,0,3,1,2,1,3,2,18,21,17,18,18
M,U,GT3,T,teacher,other,mother,no,yes,yes,no,no,yes,yes,no,4,3,1,2,0,4,3,2,1,1,3,18,2,8,8,8
M,R,GT3,T,other,other,mother,no,no,no,yes,no,yes,no,no,3,2,1,3,0,5,3,2,1,1,3,18,1,13,12,12
F,U,GT3,T,other,other,mother,no,no,no,yes,no,yes,no,no,3,3,1,3,0,3,2,3,1,1,4,17,4,10,9,9
F,U,GT3,T,at_home,services,mother,no,yes,yes,yes,yes,yes,yes,yes,2,2,1,3,0,4,3,3,1,1,3,18,0,9,10,0
M,R,LE3,A,other,other,mother,no,yes,yes,yes,yes,yes,yes,no,3,4,2,2,0,4,2,5,3,4,1,18,13,17,17,17
M,U,GT3,T,services,other,mother,no,no,yes,yes,yes,yes,yes,yes,3,1,1,2,0,5,4,4,3,4,5,17,2,9,9,10
F,R,GT3,T,teacher,other,mother,no,no,yes,yes,yes,yes,yes,no,4,4,2,2,0,4,3,4,2,2,4,18,8,12,10,11
M,U,GT3,T,health,other,father,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,0,5,4,5,1,3,5,18,10,10,9,10
F,R,GT3,T,other,other,mother,no,yes,no,no,yes,no,yes,yes,2,1,2,2,0,4,3,5,1,2,3,18,0,6,0,0
F,U,GT3,T,other,services,other,no,yes,yes,yes,yes,yes,yes,no,3,3,1,2,2,4,3,5,3,3,5,19,15,9,9,9
F,U,GT3,T,other,services,father,no,yes,yes,yes,yes,yes,yes,yes,2,3,1,4,0,4,5,5,1,3,2,18,4,15,14,14
F,U,LE3,T,other,other,mother,no,yes,yes,no,no,yes,no,no,1,1,2,2,0,4,4,3,1,1,3,18,2,11,11,11
M,R,GT3,T,at_home,at_home,mother,no,yes,yes,yes,no,yes,no,yes,1,2,1,2,0,3,5,2,2,2,1,17,2,15,14,14
F,U,GT3,T,at_home,health,mother,no,yes,yes,no,yes,yes,yes,yes,2,4,2,2,0,4,3,3,1,1,1,17,2,10,10,10
F,U,LE3,T,services,other,mother,yes,yes,yes,no,yes,yes,yes,yes,2,2,2,2,0,4,4,4,2,3,5,17,6,12,12,12
F,R,GT3,A,other,services,mother,no,no,no,no,no,no,yes,yes,3,2,2,2,0,4,1,1,1,1,5,18,75,10,9,9
M,U,GT3,T,teacher,services,mother,no,no,yes,yes,yes,yes,yes,no,4,4,2,1,0,3,2,4,1,4,3,18,22,9,9,9
F,U,GT3,T,health,health,father,yes,yes,no,yes,yes,yes,yes,yes,4,4,1,2,1,2,4,4,1,1,4,18,15,9,8,8
M,U,LE3,T,teacher,services,mother,no,no,yes,yes,yes,yes,yes,no,4,3,2,1,0,4,2,3,1,2,1,18,8,10,11,10
M,U,LE3,A,services,other,mother,no,no,yes,yes,yes,yes,yes,yes,4,1,2,1,0,4,5,4,2,4,5,17,30,8,8,8
M,U,LE3,A,teacher,services,mother,no,no,no,no,yes,yes,yes,no,3,2,1,1,1,4,4,4,3,4,3,17,19,11,9,10
F,R,LE3,T,at_home,other,mother,no,yes,yes,yes,yes,yes,no,no,1,1,2,4,0,5,2,2,1,1,3,18,1,12,12,12
F,U,GT3,T,other,other,mother,yes,no,no,yes,yes,yes,yes,no,1,1,2,2,0,5,4,4,1,1,4,18,4,8,9,10
F,U,GT3,T,other,other,mother,no,yes,no,no,no,yes,yes,no,2,2,1,2,0,5,4,5,1,2,5,17,4,10,9,11
M,U,GT3,T,other,other,father,no,no,yes,no,no,yes,yes,no,1,1,1,2,0,4,3,3,1,2,4,17,2,12,10,11
F,U,GT3,T,at_home,at_home,mother,no,yes,yes,no,yes,yes,yes,no,2,2,1,3,0,4,3,3,1,2,2,18,5,18,18,19
F,U,GT3,T,services,teacher,mother,no,yes,yes,no,yes,yes,yes,no,1,1,1,3,0,4,3,3,1,1,3,17,6,13,12,12
M,U,GT3,T,services,services,mother,no,no,yes,yes,yes,yes,yes,no,2,1,1,3,0,4,2,4,1,3,2,18,6,15,14,14
M,U,LE3,A,teacher,teacher,mother,no,yes,yes,yes,yes,yes,yes,no,4,4,1,2,0,5,4,3,1,1,2,18,9,15,13,15
M,U,GT3,T,teacher,other,mother,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,0,4,3,2,1,4,5,18,11,12,11,11
F,U,GT3,T,health,services,mother,no,yes,yes,no,yes,yes,yes,no,4,3,1,3,0,4,2,2,1,2,3,17,0,15,15,15
F,U,LE3,T,services,at_home,mother,no,no,no,no,yes,yes,yes,yes,2,1,1,2,1,5,4,3,1,1,5,18,12,12,12,13
F,R,LE3,T,services,other,mother,no,yes,yes,no,yes,yes,no,no,3,1,2,4,0,3,1,2,1,1,3,17,6,18,18,18
M,R,LE3,T,services,other,mother,no,yes,yes,yes,yes,yes,yes,no,3,2,2,3,0,5,4,2,1,1,4,18,8,14,13,14
M,U,GT3,T,health,other,mother,no,yes,yes,no,yes,yes,yes,no,3,3,1,1,0,4,4,3,1,3,5,17,4,14,12,11
F,U,GT3,T,health,other,other,no,yes,yes,yes,yes,yes,yes,no,4,4,2,2,0,2,3,4,2,3,2,19,0,10,9,0
F,U,LE3,T,other,other,other,no,yes,yes,no,yes,yes,yes,yes,4,3,2,2,0,4,4,5,1,2,2,18,10,10,8,8
F,U,GT3,T,other,other,father,no,yes,yes,no,yes,yes,yes,no,4,3,1,4,0,4,3,3,1,1,3,18,0,14,13,14
M,U,LE3,T,teacher,teacher,mother,no,yes,yes,no,yes,yes,yes,yes,4,4,1,1,0,1,4,2,2,2,1,18,5,16,15,16
F,U,LE3,A,health,other,mother,no,yes,no,no,yes,yes,yes,yes,4,4,1,2,0,4,2,4,1,1,4,18,14,12,10,11
M,U,LE3,T,other,teacher,father,no,no,yes,no,yes,yes,yes,no,4,4,2,1,0,4,1,1,2,2,5,17,0,11,11,10
F,U,GT3,T,other,other,mother,no,yes,yes,no,yes,yes,yes,no,4,2,2,3,0,4,3,3,1,1,3,17,0,15,12,14
F,U,GT3,T,health,health,father,no,yes,yes,yes,no,yes,yes,no,3,2,1,4,0,5,2,2,1,2,5,17,0,17,17,18
M,U,GT3,T,other,other,other,no,yes,no,yes,yes,yes,yes,yes,3,3,1,2,1,4,4,4,1,1,3,19,20,15,14,13
F,U,GT3,T,services,at_home,other,no,yes,yes,yes,yes,yes,yes,no,2,4,1,2,1,4,4,3,1,1,3,18,8,14,12,12
M,U,GT3,A,services,other,other,no,no,no,yes,yes,yes,no,no,3,2,1,1,0,5,5,3,1,1,5,20,0,17,18,18
M,U,GT3,T,teacher,services,other,no,yes,yes,no,yes,yes,yes,yes,4,4,2,1,1,4,3,4,1,1,4,19,38,8,9,8
M,R,GT3,T,other,services,father,no,no,no,yes,yes,yes,no,yes,3,3,1,2,1,4,5,3,1,2,5,19,0,15,12,12
F,U,LE3,T,at_home,other,other,yes,yes,no,yes,no,yes,yes,no,1,1,1,2,1,4,4,3,1,3,3,19,18,12,10,10
F,U,LE3,T,services,services,other,no,no,no,yes,no,yes,no,yes,1,2,1,2,1,4,2,4,2,2,3,19,0,9,9,0
F,U,GT3,T,at_home,other,other,no,yes,no,no,yes,no,yes,yes,2,1,3,2,0,3,4,1,1,1,2,19,20,14,12,13
M,U,GT3,T,other,services,other,no,no,no,no,no,yes,yes,no,1,2,1,2,1,4,5,2,2,2,4,19,3,13,11,11
F,U,LE3,T,services,other,other,no,yes,yes,no,no,yes,yes,yes,3,2,2,2,1,4,2,2,1,2,1,19,22,13,10,11
F,U,GT3,T,at_home,health,other,no,no,no,no,no,yes,yes,yes,1,1,1,3,2,4,1,2,1,1,3,19,14,15,13,13
F,R,GT3,T,other,other,other,no,no,no,no,yes,yes,yes,yes,2,3,1,3,1,4,1,2,1,1,3,19,40,13,11,11
F,U,GT3,T,services,other,mother,no,yes,yes,yes,yes,yes,yes,no,2,1,2,2,0,5,3,3,1,2,1,18,0,8,8,0
F,U,GT3,T,other,other,mother,no,yes,yes,yes,yes,yes,yes,yes,4,3,1,3,0,4,3,4,1,1,5,18,9,9,10,9
F,R,GT3,T,at_home,services,father,no,yes,yes,yes,no,yes,yes,no,3,4,1,3,0,4,3,4,2,5,5,17,0,11,11,10
F,U,GT3,T,teacher,other,mother,no,yes,yes,no,yes,yes,yes,no,4,4,1,2,0,4,4,4,3,3,5,18,2,11,11,11
F,U,GT3,A,services,services,mother,no,yes,yes,no,yes,yes,yes,yes,4,3,1,2,0,5,2,2,1,2,5,17,23,13,13,13
F,U,GT3,T,other,other,mother,no,yes,no,no,yes,yes,no,yes,2,2,1,2,0,4,2,2,1,1,3,17,12,11,9,9
F,R,LE3,T,services,services,mother,no,yes,yes,yes,yes,yes,yes,no,2,2,1,3,0,3,3,2,2,2,3,17,3,11,11,11
F,U,GT3,T,services,services,father,no,yes,no,no,no,yes,yes,no,3,1,1,3,0,3,4,3,2,3,5,17,1,12,14,15
F,U,LE3,T,at_home,at_home,father,no,no,no,no,yes,yes,yes,no,0,2,2,3,0,3,3,3,2,3,2,17,0,16,15,15
M,U,GT3,T,other,other,mother,no,no,no,yes,yes,yes,yes,no,4,4,1,3,0,4,3,3,2,2,3,18,3,9,12,11
M,U,GT3,T,other,services,mother,no,no,no,yes,no,yes,yes,no,3,3,1,1,0,4,3,5,3,5,5,17,3,14,15,16
M,R,GT3,T,services,other,mother,no,yes,no,no,yes,yes,yes,no,2,2,4,1,0,4,4,5,5,5,4,17,8,11,10,10
F,U,GT3,T,teacher,services,mother,no,yes,yes,yes,yes,yes,yes,no,4,4,1,3,0,5,4,4,1,3,4,17,7,10,9,9
F,U,GT3,T,teacher,teacher,mother,no,yes,yes,no,no,yes,yes,yes,4,4,2,3,0,4,3,3,1,2,4,17,4,14,14,14
M,U,LE3,T,other,other,mother,no,yes,no,yes,yes,yes,yes,no,2,2,1,4,0,4,5,5,2,4,5,18,2,9,8,8
F,R,GT3,T,at_home,other,father,no,yes,no,no,yes,yes,yes,yes,2,4,1,3,0,4,4,3,1,1,5,17,7,12,14,14
F,U,GT3,T,services,services,mother,no,no,no,yes,yes,yes,yes,no,3,3,1,2,0,5,3,4,1,1,4,18,0,7,0,0
F,U,LE3,T,other,other,other,no,no,no,yes,no,yes,yes,yes,2,2,1,2,0,4,3,3,1,1,2,18,0,8,8,0
F,R,GT3,T,at_home,other,mother,no,no,no,yes,yes,yes,no,no,2,2,2,4,0,4,4,4,1,1,4,18,0,10,9,0
F,U,GT3,T,services,other,mother,no,no,no,no,yes,yes,yes,no,3,4,1,3,0,4,4,5,1,3,5,17,16,16,15,15
F,R,GT3,A,services,at_home,other,no,no,yes,no,yes,yes,no,no,3,1,1,3,1,5,4,3,1,2,5,19,12,14,13,13
F,U,GT3,T,other,other,mother,no,yes,yes,no,yes,yes,yes,yes,3,2,1,2,0,4,3,2,2,3,2,17,0,7,8,0
F,U,LE3,T,services,services,mother,no,yes,no,no,yes,yes,yes,no,3,3,1,4,0,5,3,3,1,1,1,18,7,16,15,17
F,R,GT3,A,other,other,mother,no,yes,yes,no,yes,yes,yes,no,3,2,1,2,0,4,3,3,2,3,2,17,4,9,10,10
F,U,GT3,T,services,services,other,no,no,yes,yes,yes,yes,yes,yes,2,1,1,3,1,4,3,4,1,3,3,19,4,11,12,11
M,U,GT3,T,teacher,services,father,no,yes,no,yes,yes,yes,yes,no,4,4,1,2,1,4,3,3,2,2,2,18,0,10,10,0
M,U,LE3,T,services,other,mother,no,no,no,yes,yes,yes,yes,yes,3,4,1,2,0,4,3,3,1,3,5,18,11,16,15,15
F,U,GT3,A,at_home,at_home,father,no,yes,no,no,yes,yes,yes,yes,2,2,1,2,1,3,3,1,1,2,4,17,0,9,8,0
F,U,GT3,T,at_home,other,mother,no,yes,no,no,yes,yes,yes,no,2,3,1,3,0,4,3,3,1,2,3,18,4,11,10,10
F,U,GT3,T,other,services,mother,no,no,no,no,yes,yes,yes,yes,3,2,1,3,0,5,4,3,2,3,1,18,7,13,13,14
M,R,GT3,T,teacher,services,mother,no,no,no,no,yes,yes,yes,yes,4,3,1,3,0,5,3,2,1,2,4,18,9,16,15,16
M,U,GT3,T,teacher,other,mother,no,yes,yes,no,yes,yes,yes,yes,4,3,1,3,0,5,4,5,2,3,5,18,0,10,10,9
F,U,GT3,T,health,other,mother,no,yes,yes,yes,yes,yes,yes,yes,4,3,1,3,0,4,4,3,1,3,4,17,0,13,15,15
M,R,GT3,T,other,other,mother,no,yes,no,no,no,yes,yes,no,3,2,2,1,1,2,5,5,5,5,5,18,10,11,13,13
M,R,GT3,T,other,services,other,no,no,no,no,yes,yes,yes,no,1,1,3,2,3,5,4,4,3,3,2,19,8,8,7,8
M,U,GT3,T,health,other,mother,no,yes,yes,no,yes,yes,yes,no,3,3,2,2,0,4,5,4,2,3,3,17,2,13,13,13
M,U,LE3,T,at_home,services,mother,no,no,no,no,yes,no,yes,yes,1,3,1,1,1,4,3,3,2,3,3,18,7,8,7,8
M,R,GT3,T,other,other,other,no,yes,no,no,yes,yes,yes,no,1,1,3,1,1,4,4,4,3,3,5,19,4,8,8,8
M,R,GT3,T,services,other,mother,no,yes,yes,yes,no,yes,yes,yes,4,3,2,2,0,4,5,5,1,3,2,17,4,13,11,11
F,U,GT3,T,services,services,father,no,yes,no,no,yes,yes,no,yes,3,3,1,2,0,5,3,4,1,1,5,18,0,10,9,9
F,R,GT3,T,teacher,services,father,no,yes,yes,yes,yes,yes,yes,no,4,4,2,2,0,4,3,3,1,2,5,17,4,12,13,13
F,U,LE3,A,services,other,mother,no,no,no,no,yes,yes,no,yes,3,2,2,2,0,1,2,3,1,2,5,17,2,12,12,11
M,U,LE3,T,other,services,father,no,no,no,no,no,yes,yes,yes,1,1,2,1,0,3,3,2,1,2,3,18,4,10,10,10
F,U,LE3,T,at_home,services,father,no,no,no,no,yes,yes,yes,no,1,1,2,3,0,5,3,2,1,1,4,18,0,18,16,16
F,R,LE3,A,at_home,other,mother,no,no,no,no,yes,yes,no,yes,1,4,3,2,0,4,3,4,1,4,5,18,0,13,13,13
M,R,LE3,T,at_home,other,mother,no,no,no,yes,no,no,no,no,1,1,2,2,1,4,4,3,2,3,5,18,2,13,12,12
F,U,GT3,T,services,services,mother,no,yes,no,no,yes,yes,yes,yes,3,3,2,2,0,4,3,2,1,3,3,18,0,11,11,10
F,U,LE3,T,at_home,at_home,mother,no,yes,yes,yes,yes,yes,yes,yes,4,4,1,2,0,2,3,4,1,1,1,17,0,16,15,15
F,R,GT3,T,other,services,father,no,no,no,no,no,yes,no,no,1,2,2,2,0,3,2,2,1,2,3,17,0,12,11,12
M,R,GT3,T,at_home,other,mother,no,yes,yes,no,yes,yes,no,no,1,3,2,2,0,3,3,4,2,4,3,18,4,10,10,10
M,U,LE3,T,teacher,services,mother,no,no,yes,no,yes,yes,yes,yes,4,4,2,3,0,4,2,2,2,2,5,18,0,13,13,13
F,R,GT3,T,other,services,mother,no,yes,yes,no,yes,yes,yes,yes,1,1,3,1,1,5,2,1,1,2,1,17,0,7,6,0
F,U,GT3,T,at_home,services,father,no,yes,yes,no,yes,yes,yes,yes,2,3,2,1,0,5,2,3,1,2,4,18,0,11,10,10
F,R,GT3,T,other,teacher,father,no,yes,yes,no,no,yes,yes,yes,4,4,3,2,0,3,2,2,4,2,5,18,10,14,12,11
F,U,LE3,T,services,services,other,no,no,no,yes,yes,yes,no,yes,3,2,2,2,2,3,2,2,1,1,3,19,4,7,7,9
M,R,LE3,T,at_home,services,father,no,yes,yes,yes,yes,no,yes,yes,1,2,3,1,0,4,3,3,2,3,3,18,3,14,12,12
F,U,GT3,T,other,at_home,mother,no,no,no,yes,yes,yes,no,yes,2,2,1,3,0,3,4,3,1,1,3,17,8,13,11,11
F,R,GT3,T,other,other,mother,no,no,no,yes,yes,yes,yes,no,1,2,1,1,0,3,5,5,1,3,1,17,14,6,5,5
F,R,LE3,T,other,other,mother,no,no,no,no,yes,yes,yes,no,4,4,2,3,0,5,4,4,1,1,1,18,0,19,18,19
F,R,GT3,T,other,other,mother,no,no,no,no,yes,yes,yes,no,1,1,4,3,0,4,3,2,1,2,4,18,2,8,8,10
F,U,GT3,T,health,other,other,no,yes,yes,no,no,yes,yes,yes,4,2,2,3,2,5,4,3,1,1,3,20,4,15,14,15
F,R,LE3,T,teacher,services,mother,no,no,yes,yes,yes,yes,yes,no,4,4,1,2,0,5,4,3,3,4,2,18,4,8,9,10
F,U,GT3,T,other,other,mother,no,no,yes,no,yes,yes,yes,yes,3,3,1,2,0,4,1,3,1,2,1,18,0,15,15,15
F,R,GT3,T,at_home,other,mother,no,yes,yes,yes,no,yes,yes,no,3,1,1,2,0,4,5,4,2,3,1,17,17,10,10,10
M,U,GT3,T,teacher,teacher,father,no,no,yes,yes,no,yes,yes,no,4,4,1,2,0,3,2,4,1,4,2,18,4,15,14,14
M,R,GT3,T,other,other,mother,no,no,no,yes,no,yes,yes,yes,2,1,2,1,0,4,4,3,1,3,5,18,5,7,6,7
M,U,GT3,T,other,services,father,no,no,no,yes,yes,yes,yes,no,2,3,2,2,0,4,4,3,1,1,3,17,2,11,11,10
M,R,GT3,T,other,services,mother,no,no,no,no,yes,yes,no,no,1,1,2,1,1,4,3,2,1,3,5,19,0,6,5,0
M,R,GT3,T,other,other,father,no,no,yes,no,yes,yes,no,no,4,2,2,1,1,5,4,3,4,3,3,18,14,6,5,5
F,R,GT3,T,at_home,other,mother,no,no,yes,no,yes,yes,no,no,2,2,2,3,0,5,3,3,1,3,4,18,2,10,9,10
F,R,GT3,T,teacher,at_home,mother,no,yes,yes,yes,yes,yes,yes,yes,4,4,3,1,0,4,4,3,2,2,5,18,7,6,5,6
F,R,GT3,T,services,other,mother,no,no,no,yes,no,yes,yes,no,2,3,1,3,1,5,4,2,1,2,5,19,0,7,5,0
F,U,LE3,T,teacher,services,mother,no,yes,yes,no,yes,yes,yes,no,3,1,1,2,0,4,3,4,1,1,1,18,0,7,9,8
F,U,GT3,T,other,other,mother,no,no,no,yes,yes,yes,no,no,1,1,2,2,1,1,1,1,1,1,5,18,0,6,5,0
M,U,LE3,A,services,services,other,no,yes,yes,no,yes,yes,no,no,2,2,1,2,2,5,5,4,4,5,4,20,11,9,9,9
M,U,LE3,T,services,services,mother,no,no,no,no,no,yes,yes,no,3,1,2,1,0,2,4,5,3,4,2,17,3,14,16,16
M,R,GT3,T,other,other,other,no,no,no,no,no,yes,no,no,1,1,1,1,3,5,5,3,3,3,3,21,3,10,8,7
M,R,LE3,T,services,other,mother,no,no,no,no,no,yes,yes,no,3,2,3,1,0,4,4,1,3,4,5,18,0,11,12,10
